多賀城 八戸北 帝京安積 湯沢 一関学院 山形東 いわき湯本 致道館 聖ウルスラ 専修北上 秋田南 弘前中央 泉館山 黒沢尻北 安積黎明 青森山田 明桜 創学館 盛岡第一 磐城 青森 山形中央 仙台向山 大曲
     3     24       9    11      21     12          8     13          2       14      1       22     15       10        5       16    6     20       23    4   19        7       18   17 
     5     17       6    18      24     16          7     15          1       19      4       20      8       23        9       21    3     10       11    2   22       12       14   13 
     5     15       1    23      20     10          6     14          4       21      7       24     16        8        9        2   17     22       18    3   11       19       13   12 
     3     24       7    13      14     17          2     23          8       21      1       15     12       18        16       4    5      9       11    6   22       19       20   10
    15      7       6    21      14      5         18     17          4        8      1       16     13       19        9       10    3     20       22   11   24        2       12   23
     2      3       6    7       11     12         16     17         20       21     10       23     24       22        19      18   15     14       13    1    8        5        4    9
     5      9       8    22      16     24          3     15          4       20      1       17     23       21        10       6    2     13       14    7   18       19       11   12
     1     11       4     8       9      3         17      7          2       22      5       23     21       20        13      12   10     24       16   15   18       19        6   14
     6      5       7     9      22     23          1      8          4       19      2       10     17       24        16      11    3     20       18   12   13       14       21   15
    14     15      13    10      17     21         19     12          6        7      3       16      8        9        24       4    1     22       11    2   23       18        5   20
     7      8       3    11      18     10          2      9         15       16    14        13     20       21        17       6    4     22       23    1   19        5       24   12
     2     18      13    12      10     14         24     11         23        9      5       16      7       19        22       3    1     15       21    4   17       20        6    8
     2     20       8    19      22     12         15     18          4       10      1       21      7       23        24       5    9      6       16    3   14       13       17   11
     3     22      19    11      17     15          4      6         10       12      2        7     24       13        20       8    5     21       18    1   23        9       14   16
     6     21      10   23X      16     19          5      7          3       14     15       22     12       17         9      18    4     20       24    2   11        1        8   13
